"","node_id","track_name","X","Y","Z","cell_type","timepoint","DistBorder"
"40425",75493,"full_my4",800.4514958,491.5224899,1227.957887,"CM",345,69.09087372
"40426",76655,"partial_ec7",838.6291096,644.4348835,1335.7206,"ET",345,70.77239227
"40427",76660,"partial_ec7",805.0505767,695.6275718,1380.536074,"ET",345,62.22058105
"40428",76663,"full_ec4",808.0547318,716.2334366,1387.389022,"ET",345,68.42282104
"40429",77560,"full_ec4",832.9864785,664.4174521,1354.85036,"ET",345,66.02379608
"40430",77696,"full_ec3",775.9131398,753.0455072,1405.273867,"ET",345,58.55548859
"40431",78243,"full_my4",808.0434579,538.3853264,1236.267651,"CM",345,61.09040833
"40432",78290,"full_my4",811.378455,540.4035059,1241.834388,"CM",345,62.38150406
"40433",78850,"partial_et_aorta6",461.3169813,594.3356365,1261.909314,"ET",345,46.49381256
"40434",78895,"full_et_aorta_noEtMes1",601.2664488,632.6089574,1245.440953,"ET",345,34.31106949
"40435",78927,"full_et_aorta_noEtMes1",577.4151141,630.4232029,1276.630811,"ET",345,31.06360435
"40436",79661,"partial_ec10",820.5129399,676.4089488,1366.270186,"ET",345,67.84111023
"40437",80421,"full_ec_aorta1",596.7785233,660.3206204,1257.349243,"ET",345,51.25513077
"40438",80443,"full_ec_aorta1",781.595839,684.7252954,1359.626106,"ET",345,67.52629089
"40439",80712,"partial_uc2",661.6147338,807.9466767,1394.615411,"ET",345,39.14909744
"40440",80886,"full_ec2",721.7029291,761.5365774,1398.367367,"ET",345,58.80994797
"40441",81665,"full_ec2",662.8673456,832.4761544,1400.80811,"ET",345,32.5989151
"40442",82209,"partial_my6",852.4178765,694.7595724,1384.763348,"CM",345,66.36553955
"40443",84760,"full_ec_aorta1",408.1815861,796.7498118,1275.895076,"ET",345,16.20188522
"40444",84774,"full_ec_aorta1",406.6419597,786.0908597,1276.013509,"ET",345,15.20268536
"40445",84779,"partial_ec_et_4",769.7034041,665.9795856,1350.594315,"ET",345,54.78715515
"40446",85097,"partial_ec_et_4",706.8394417,649.3455458,1289.187888,"ET",345,30.79779053
"40447",85368,"partial_ec8_revisar",858.6469169,591.5123541,1288.407103,"ET",345,81.86399841
"40448",85855,"partial_my9_revisar",809.7804581,600.6315558,1297.157471,"CM",345,54.33787537
"40449",85951,"partial_my9_revisar",828.8030279,589.5486125,1280.638627,"CM",345,73.39619446
"40450",86073,"partial_ec6",882.8350643,591.4645982,1287.675137,"ET",345,84.35648346
"40451",86446,"partial_ec6",900.8989688,539.1114274,1247.993838,"ET",345,57.99174118
"40452",86681,"partial_ec6",878.0785964,595.1143222,1287.246353,"ET",345,87.01220703
"40453",86714,"partial_ec6",896.4057416,520.6206884,1252.889535,"ET",345,40.89413834
"40454",87266,"full_ec_uc2",902.8814968,506.2022398,1238.773485,"ET",345,32.64456177
"40455",87286,"full_ec_uc2",894.3974183,515.3973925,1239.633332,"ET",345,41.76077652
"40456",87417,"partial_my10",857.9504603,505.7280622,1203.391247,"CM",345,74.32686615
"40457",87424,"partial_my10",857.9504603,505.7280622,1203.391247,"CM",345,74.32686615
"40458",87879,"full_ExM_et_2",1032.371505,702.7066707,1316.167771,"ET",345,18.46332741
"40459",87904,"full_ExM_et_2",1042.815125,680.4197709,1328.33405,"ET",345,16.0131855
"40460",88210,"full_ExM_et_2",977.0193393,659.4100908,1320.010826,"ET",345,30.61986732
"40461",88218,"full_ExM_et_2",979.2475771,671.9585876,1331.855669,"ET",345,30.52684784
"40462",88456,"full_ExM_et_2",1046.608987,644.5527738,1300.688954,"ET",345,12.1218586
"40463",88495,"full_ExM_et_2",1018.112897,690.2964416,1342.606836,"ET",345,11.86622238
"40464",88621,"full_ExM_et_2",1018.124931,641.0237867,1317.574821,"ET",345,10.02557945
"40465",88643,"full_ExM_et_2",1020.38592,622.5627634,1300.523234,"ET",345,24.25455856
"40466",90758,"full_ec_uc2",1041.10065,531.4015127,1209.851598,"ET",345,22.15449142
"40467",90771,"full_ec_uc2",1052.640251,530.9818908,1207.753489,"ET",345,26.35525322
"40468",53247,"full_ec1_finished",666.6743415,842.3954224,1402.954954,"ET",346,33.19989777
"40469",53490,"full_ec1_finished",846.746288,817.9763254,1426.582142,"ET",346,36.6757431
"40470",53542,"full_ec1_finished",892.2996475,803.9666849,1414.510943,"ET",346,48.78330231
"40471",53821,"full_ec1_finished",795.3134227,674.4401046,1352.269005,"ET",346,65.65151215
"40472",53833,"full_ec1_finished",789.2703632,672.0572939,1334.058276,"ET",346,70.26243591
"40473",53978,"full_ec1_finished",797.9291456,733.2759881,1382.071222,"ET",346,83.15985107
"40474",54016,"full_ec1_finished",848.2583246,642.85765,1327.100324,"ET",346,75.47779083
"40475",54031,"full_ec1_finished",823.1453938,641.8346754,1332.972143,"ET",346,62.77314377
"40476",54038,"partial_ec12",824.7313909,659.3687538,1336.496581,"ET",346,76.15441895
"40477",54040,"partial_ec12",824.7313909,659.3687538,1336.496581,"ET",346,76.15441895
"40478",54155,"full_ec3",779.6228626,704.1966776,1370.80472,"ET",346,77.13132477
"40479",55446,"partial_et_aorta3",530.1654383,638.8427345,1282.894117,"ET",346,63.96176147
"40480",55453,"full_et_aorta_noEtMes1",513.4994771,603.2568497,1271.884091,"ET",346,55.49563217
"40481",55557,"partial_et_aorta3",568.5900198,623.8474931,1281.514562,"ET",346,33.95112228
"40482",55927,"partial_et_aorta6",546.5655868,614.2778475,1267.573435,"ET",346,48.29809189
"40483",56960,"partial_et_aorta6",524.6053243,606.6250661,1282.518756,"ET",346,46.04627609
"40484",56964,"full_et_aorta_noEtMes1",475.2282808,591.8534069,1267.169269,"ET",346,44.30236816
"40485",57284,"full_uc1",981.3444985,491.4867528,1183.100132,"ET",346,38.63990784
"40486",57324,"full_uc1",987.0269791,512.4210815,1209.724188,"ET",346,37.20794296
"40487",57330,"partial_uc3",1002.059588,506.6958965,1200.853883,"ET",346,41.83372116
"40488",57355,"partial_uc3",1002.059588,506.6958965,1200.853883,"ET",346,41.83372116
"40489",57699,"full_uc1",1036.306285,486.2731774,1158.328714,"ET",346,27.44778442
"40490",58440,"partial_ec9",862.2638975,481.8435591,1232.615186,"ET",346,44.83308029
"40491",58443,"partial_ec9",862.2638975,481.8435591,1232.615186,"ET",346,44.83308029
"40492",59800,"full_ec_uc1",1000.926244,476.2217065,1164.173526,"ET",346,28.79512787
"40493",60096,"full_ec_uc1",802.2677094,541.4815774,1277.558135,"ET",346,48.9205513
"40494",60140,"full_ec_uc1",837.6881574,492.6261601,1248.459822,"ET",346,47.75910187
"40495",60220,"partial_my9",743.4333558,710.4749061,1383.079556,"CM",346,71.05455017
"40496",60417,"partial_my9",727.9865737,714.1810259,1371.838939,"CM",346,78.80849457
"40497",60609,"partial_my7",696.0614984,725.1428695,1370.149504,"CM",346,78.13275146
"40498",61121,"partial_my5_binding_end_zone",829.4042938,721.2155129,1390.18813,"CM",346,71.57713318
"40499",62238,"full_my_SplMes1_finished",831.8268826,737.3570448,1311.689032,"CM",346,101.3267441
"40500",62275,"full_my_SplMes1_finished",818.2228371,744.0183515,1311.807337,"CM",346,114.9336624
"40501",62417,"full_my_SplMes1_finished",848.7788084,715.3453908,1321.065956,"CM",346,86.18669891
"40502",62459,"full_my_SplMes1_finished",838.2531581,712.8298265,1307.031756,"CM",346,94.67849731
"40503",62478,"full_ec1_finished",607.0990172,688.9668795,1215.720264,"ET",346,89.87449646
"40504",62482,"full_ec1_finished",825.615849,709.1344707,1348.734206,"ET",346,100.2013474
"40505",62485,"full_ec1_finished",822.5971984,681.13025,1336.313831,"ET",346,89.98036957
"40506",62489,"full_ec1_finished",685.9706388,764.9459001,1400.399736,"ET",346,44.28393555
"40507",62496,"full_ec1_finished",787.5271363,707.6357026,1368.910037,"ET",346,80.05404663
"40508",62513,"full_ec1_finished",639.3316972,678.1954817,1210.504912,"ET",346,77.88399506
"40509",63379,"full_ec1_finished",823.6970256,800.3320869,1386.71187,"ET",346,77.43151855
"40510",63401,"full_ec1_finished",819.1232725,814.9669062,1380.799741,"ET",346,81.45796967
"40511",63908,"full_my_SplMes1_finished",678.8636916,833.3691405,1333.008076,"CM",346,89.96118164
"40512",63943,"full_my_SplMes1_finished",691.0041296,835.2691885,1328.282027,"CM",346,91.00015259
"40513",64205,"full_my_SplMes1_finished",698.933424,868.2498564,1346.464474,"CM",346,54.01662827
"40514",64237,"full_my_SplMes1_finished",698.933424,868.2498564,1346.464474,"CM",346,54.01662827
"40515",64244,"full_uc1",1024.125484,455.084359,1116.685318,"ET",346,23.30247498
"40516",64253,"full_uc1",1014.174885,458.7787354,1118.765993,"ET",346,30.99397278
"40517",64267,"full_uc1",1075.23958,482.59746,1103.270855,"ET",346,-0.123877384
"40518",65211,"full_my_JCF1",925.5956316,523.6502192,1211.115005,"CM",346,54.15465164
"40519",65328,"full_my_JCF1",971.0774015,525.8017172,1223.830979,"CM",346,45.20634842
"40520",65529,"full_my_JCF1",966.6936097,503.0643714,1204.267332,"CM",346,39.4324913
"40521",65545,"full_my_JCF1",960.4708982,492.406323,1194.933264,"CM",346,40.01648712
"40522",67583,"partial_my3",786.7718154,668.294004,1302.236034,"CM",346,73.61116791
"40523",67703,"partial_my3",781.3242048,662.9115005,1303.759562,"CM",346,66.34531403
"40524",69912,"full_my1",839.1764779,763.6372248,1326.977161,"CM",346,99.62497711
"40525",70191,"full_my1",856.450226,747.4679973,1351.24254,"CM",346,86.70237732
"40526",70448,"full_my1",852.2792216,711.5984421,1303.674316,"CM",346,80.50937653
"40527",71166,"full_my1",771.4150394,638.0383604,1294.82065,"CM",346,43.81475449
"40528",71299,"full_my1",769.0313798,632.9662826,1300.063655,"CM",346,37.83875275
"40529",71964,"full_my1",782.7690909,692.2499813,1299.258218,"CM",346,92.58149719
"40530",72084,"full_my1",796.6676692,696.6622284,1299.846517,"CM",346,102.9136887
"40531",72588,"full_my_JCF1",956.1964661,506.4769036,1217.012741,"CM",346,31.87387085
"40532",72610,"full_my_JCF1",951.9888251,503.4530621,1207.978232,"CM",346,36.75501633
"40533",72950,"full_ec_uc1",1018.823108,411.7882103,972.1300164,"ET",346,23.50237083
"40534",73019,"full_ec_uc1",918.3829259,390.0557553,996.0952962,"ET",346,20.6296463
"40535",73357,"full_ec_uc1",1000.578636,398.775963,882.7097011,"ET",346,20.99414635
"40536",73411,"full_ec_uc1",1017.450534,419.0037621,910.8333605,"ET",346,10.57231331
"40537",73547,"full_ec_uc1",972.4528468,417.7459307,1065.417614,"ET",346,25.41651344
"40538",74113,"partial_ec11",897.5423024,479.4425587,1227.164782,"ET",346,26.55711937
"40539",74561,"partial_my9",846.396343,500.338391,1224.892676,"CM",346,66.16901398
"40540",74782,"partial_my8",840.3650619,500.0735207,1199.810529,"CM",346,81.17925262
"40541",75462,"full_my4",797.902832,495.527533,1229.414266,"CM",346,68.67451477
"40542",75493,"full_my4",797.902832,495.527533,1229.414266,"CM",346,68.67451477
"40543",76655,"partial_ec7",840.1269956,642.8488865,1335.7206,"ET",346,67.98493195
"40544",76660,"partial_ec7",806.107747,694.4821295,1380.554527,"ET",346,62.35416794
"40545",76663,"full_ec4",809.226033,714.3591421,1385.518274,"ET",346,69.83131409
"40546",77560,"full_ec4",831.045025,662.217904,1352.194837,"ET",346,66.5589447
"40547",77696,"full_ec3",778.9305688,749.5034514,1403.192155,"ET",346,62.4564743
"40548",78243,"full_my4",809.9406506,541.3943745,1237.296266,"CM",346,63.61883163
"40549",78290,"full_my4",809.9366395,544.3284481,1241.834388,"CM",346,62.5044632
"40550",78850,"partial_et_aorta6",463.9649437,594.9976271,1262.571304,"ET",346,42.48096848
"40551",78895,"full_et_aorta_noEtMes1",605.6355866,633.4695452,1242.131,"ET",346,34.82852173
"40552",78927,"full_et_aorta_noEtMes1",579.0700906,630.6879991,1278.616782,"ET",346,32.45936584
"40553",79661,"partial_ec10",820.3826639,674.5850837,1366.270186,"ET",346,65.40061951
"40554",80421,"full_ec_aorta1",598.2115602,658.3664792,1257.349243,"ET",346,51.08581924
"40555",80443,"full_ec_aorta1",784.3316367,685.2463997,1359.756382,"ET",346,65.94770813
"40556",80712,"partial_uc2",661.3541817,804.5594986,1395.918172,"ET",346,38.10100555
"40557",80886,"full_ec2",720.3157494,759.1090129,1398.367367,"ET",346,59.08781052
"40558",81665,"full_ec2",664.8735973,830.7075454,1402.180259,"ET",346,32.18624115
"40559",82209,"partial_my6",853.9942171,692.0368023,1383.330311,"CM",346,66.85351563
"40560",84760,"full_ec_aorta1",409.1290485,797.1051102,1279.566493,"ET",346,15.09381676
"40561",84774,"full_ec_aorta1",407.4709893,786.5645909,1278.382165,"ET",346,14.11101246
"40562",84779,"partial_ec_et_4",774.6625715,662.737053,1348.87768,"ET",346,51.57194901
"40563",85097,"partial_ec_et_4",707.3123439,647.6115711,1289.187888,"ET",346,30.10178566
"40564",85368,"partial_ec8_revisar",861.9429017,590.3659246,1288.550406,"ET",346,74.94748688
"40565",85855,"partial_my9_revisar",811.2578419,600.8124382,1293.58077,"CM",346,60.14969254
"40566",85951,"partial_my9_revisar",828.545529,591.5822576,1279.493931,"CM",346,75.56705475
"40567",86073,"partial_ec6",879.9724407,593.4779558,1286.540596,"ET",346,78.74049377
"40568",86446,"partial_ec6",900.801753,539.8794834,1249.911824,"ET",346,53.82835007
"40569",86681,"partial_ec6",877.2495668,598.193575,1289.615009,"ET",346,79.06969452
"40570",86714,"partial_ec6",895.5869187,520.8344379,1253.456799,"ET",346,39.37004852
"40571",87266,"full_ec_uc2",900.394408,506.675971,1238.773485,"ET",346,33.8887558
"40572",87286,"full_ec_uc2",892.8577919,515.6342581,1242.001988,"ET",346,41.70847702
"40573",87417,"partial_my10",857.7567131,506.0491963,1203.674035,"CM",346,77.56826782
"40574",87424,"partial_my10",857.7567131,506.0491963,1203.674035,"CM",346,77.56826782
"40575",87879,"full_ExM_et_2",1033.663499,702.3836721,1314.014447,"ET",346,11.82064915
"40576",87904,"full_ExM_et_2",1043.78412,679.9891062,1326.07306,"ET",346,15.509799
"40577",88210,"full_ExM_et_2",979.5994041,661.5210529,1321.183583,"ET",346,32.42033386
"40578",88218,"full_ExM_et_2",979.8339554,672.5449659,1333.028426,"ET",346,29.71829414
"40579",88456,"full_ExM_et_2",1046.684997,643.532314,1301.513632,"ET",346,12.42861271
"40580",88495,"full_ExM_et_2",1018.648447,692.2050978,1342.322139,"ET",346,9.859835625
"40581",88621,"full_ExM_et_2",1018.017264,640.738418,1319.733454,"ET",346,10.9856987
"40582",88643,"full_ExM_et_2",1021.139584,622.670364,1300.519476,"ET",346,22.35367012
"40583",90758,"full_ec_uc2",1042.988948,532.6603783,1216.355737,"ET",346,23.48254585
"40584",90771,"full_ec_uc2",1053.479495,531.1917018,1207.753489,"ET",346,26.15194511
"40585",53247,"full_ec1_finished",666.6743415,842.2192005,1401.192735,"ET",347,36.44254303
"40586",53490,"full_ec1_finished",844.1910705,815.0686642,1427.463252,"ET",347,39.64315796
"40587",53542,"full_ec1_finished",898.7317466,805.6407929,1414.510943,"ET",347,50.82533646
"40588",53821,"full_ec1_finished",798.2210839,672.0611091,1348.744567,"ET",347,67.78824615
"40589",53833,"full_ec1_finished",794.7661697,667.2306325,1335.859153,"ET",347,71.30095673
"40590",53978,"full_ec1_finished",797.8410346,732.7473224,1382.071222,"ET",347,81.31493378
"40591",54016,"full_ec1_finished",848.1702137,640.5667654,1327.100324,"ET",347,75.28759003
"40592",54031,"full_ec1_finished",821.4712858,636.1955748,1332.972143,"ET",347,61.61004257
"40593",54038,"partial_ec12",824.2908361,657.0778692,1336.496581,"ET",347,75.1319046
"40594",54040,"partial_ec12",824.2908361,657.0778692,1336.496581,"ET",347,75.1319046
"40595",54155,"full_ec3",779.5695555,704.5698275,1372.457241,"ET",347,77.09614563
"40596",55446,"partial_et_aorta3",528.4070193,636.1021669,1284.572263,"ET",347,65.28992462
"40597",55453,"full_et_aorta_noEtMes1",513.2087624,600.5758665,1272.560183,"ET",347,53.31002808
"40598",55557,"partial_et_aorta3",574.7577861,623.3809406,1280.705287,"ET",347,33.82171631
"40599",55927,"partial_et_aorta6",552.5350753,612.0389483,1267.469237,"ET",347,41.27968979
"40600",56960,"partial_et_aorta6",528.8202605,605.7430169,1286.146116,"ET",347,46.36706543
"40601",56964,"full_et_aorta_noEtMes1",472.240553,590.2475983,1268.326472,"ET",347,43.63634109
"40602",57284,"full_uc1",980.8139528,490.8560333,1187.291087,"ET",347,39.73901367
"40603",57324,"full_uc1",985.2145369,513.487224,1212.922615,"ET",347,39.5450058
"40604",57330,"partial_uc3",994.9057718,506.4613452,1202.02664,"ET",347,44.47611237
"40605",57355,"partial_uc3",1006.516063,506.2267938,1200.971158,"ET",347,38.90546417
"40606",57699,"full_uc1",1035.122818,483.880908,1156.84965,"ET",347,25.8500576
"40607",58440,"partial_ec9",855.8670428,480.8743387,1232.615186,"ET",347,45.19211197
"40608",58443,"partial_ec9",855.8670428,480.8743387,1232.615186,"ET",347,45.19211197
"40609",59800,"full_ec_uc1",1000.617751,477.4627322,1171.058797,"ET",347,31.09740067
"40610",60096,"full_ec_uc1",800.9898385,543.2504124,1275.794475,"ET",347,48.08155823
"40611",60140,"full_ec_uc1",836.8927923,493.5724907,1247.238401,"ET",347,51.85789108
"40612",60220,"partial_my9",742.8667348,706.7353485,1384.648338,"CM",347,72.72609711
"40613",60417,"partial_my9",728.9458109,710.0380586,1371.469192,"CM",347,82.77764893
"40614",60609,"partial_my7",697.8237173,720.913544,1370.149504,"CM",347,81.14091492
"40615",61121,"partial_my5_binding_end_zone",832.3894926,720.6824417,1392.42703,"CM",347,71.26747131
"40616",62238,"full_my_SplMes1_finished",829.8409109,736.0992626,1312.351023,"CM",347,99.60145569
"40617",62275,"full_my_SplMes1_finished",819.8976733,746.2029204,1311.734518,"CM",347,108.2427979
"40618",62417,"full_my_SplMes1_finished",850.9647216,714.9082081,1321.065956,"CM",347,80.65568542
"40619",62459,"full_my_SplMes1_finished",837.9883619,712.9622246,1305.641576,"CM",347,92.96958923
