"Param","Nobs","Nsamp","Nevent","OR","ORCI_low","ORCI_upp","pval","Model"
"trackLength_win1",41464,173,29414,1.13913388724667,0.248251796534536,5.22705588111703,0.86691396453906,"glmer"
"trackLength_win5",40773,171,28935,1.27825795360038,0.251722302854904,6.49105533125707,0.767141158373804,"glmer"
"trackLength_win10",39920,170,28345,1.37144691036183,0.245480896111214,7.66196741879615,0.718959403547585,"glmer"
"trackLength_win15",39070,170,27755,1.45880519536998,0.238500944174301,8.9228686511328,0.682775406708839,"glmer"
"trackLength_win20",38222,169,27167,1.52598235942761,0.231743908781258,10.0482561700563,0.660297879967031,"glmer"
"trackLength_win25",37381,167,26586,1.56448335436734,0.228423851807872,10.7152039803232,0.648464843098503,"glmer"
"trackLength_win30",36549,166,26006,1.60431816682989,0.223973094162181,11.4917231020467,0.637964458772775,"glmer"
"trackLength_win35",35726,164,25433,1.63051156866777,0.219102219305326,12.1339162332019,0.633070359194298,"glmer"
"trackLength_win40",34910,163,24867,1.65408221085332,0.220315937018737,12.418475019484,0.624648395839927,"glmer"
"trackLength_win45",34097,162,24302,1.66881030139486,0.215312198897578,12.9343708173561,0.624027385336289,"glmer"
"trackLength_win50",33300,158,23748,1.72820605953687,0.209906862582427,14.2286733624402,0.61101705893667,"glmer"
"trackLength_win60",31735,155,22663,1.79429362859556,0.205243588927074,15.6861885062952,0.597171575743415,"glmer"
"trackLength_win70",30192,153,21597,1.84319002579743,0.199008998207022,17.0713359788133,0.590273812151218,"glmer"
"trackLength_win80",28665,152,20537,1.93714400882892,0.199183725178639,18.8395257071144,0.568870356846612,"glmer"
"trackLength_win90",27187,144,19515,1.98087906768023,0.177699667366101,22.0815375680453,0.578469630255842,"glmer"
"trackLength_win100",25747,141,18505,2.0183900452353,0.178233379338365,22.8571011211706,0.570603382188888,"glmer"
"maxDisplacement_win1",41464,173,29414,1.13913388724667,0.248251796534536,5.22705588111703,0.86691396453906,"glmer"
"maxDisplacement_win5",40773,171,28935,1.23632037458439,0.244194086817105,6.2593164664027,0.797678828557462,"glmer"
"maxDisplacement_win10",39920,170,28345,1.23947061508394,0.232969565760235,6.59436952909829,0.801250266735883,"glmer"
"maxDisplacement_win15",39070,170,27755,1.22499699218556,0.225700618711627,6.64870853890291,0.814092581375887,"glmer"
"maxDisplacement_win20",38222,169,27167,1.20756104628724,0.220481960112256,6.61370971016362,0.827916528334702,"glmer"
"maxDisplacement_win25",37381,167,26586,1.19344881359684,0.215978250370443,6.59473844349011,0.839317450385635,"glmer"
"maxDisplacement_win30",36549,166,26006,1.18560043958259,0.208464686759077,6.74286098135623,0.847768579646903,"glmer"
"maxDisplacement_win35",35726,164,25433,1.17009803733161,0.205421044795211,6.66499101069324,0.859533371245383,"glmer"
"maxDisplacement_win40",34910,163,24867,1.15561779937775,0.202737297919244,6.58710810464985,0.870617307051831,"glmer"
"maxDisplacement_win45",34097,162,24302,1.13897599685511,0.19663072407758,6.59747517839714,0.884554218725499,"glmer"
"maxDisplacement_win50",33300,158,23748,1.15942539993698,0.197491239474233,6.80671842253747,0.869887201178276,"glmer"
"maxDisplacement_win60",31735,155,22663,1.14337352164921,0.1908956687894,6.84825914751777,0.883365543352202,"glmer"
"maxDisplacement_win70",30192,153,21597,1.13897209707932,0.191848225146231,6.76189439301022,0.886141936943428,"glmer"
"maxDisplacement_win80",28665,152,20537,1.15438416851465,0.195393785757011,6.82008797441732,0.874133004320704,"glmer"
"maxDisplacement_win90",27187,144,19515,1.13763467249773,0.184297347757518,7.02241602397782,0.889563840431575,"glmer"
"maxDisplacement_win100",25747,141,18505,1.14375245550235,0.182364835555456,7.17336582726144,0.88599128227502,"glmer"
"speed_win1",41464,173,29414,1.13913388724667,0.248251796534536,5.22705588111703,0.86691396453906,"glmer"
"speed_win5",40773,171,28935,1.27825184603279,0.252489003309043,6.47128294885116,0.766720915672255,"glmer"
"speed_win10",39920,170,28345,1.37144631698629,0.241404083631375,7.79135535771356,0.721555735418243,"glmer"
"speed_win15",39070,170,27755,1.45879373062594,0.236987095701119,8.97972584632797,0.683831604925904,"glmer"
"speed_win20",38222,169,27167,1.52598584484026,0.232729349192535,10.0057547822487,0.659578278967019,"glmer"
"speed_win25",37381,167,26586,1.56446152134565,0.226746160398505,10.7941843313669,0.649724447404485,"glmer"
"speed_win30",36549,166,26006,1.60430396668299,0.217497093211492,11.8336809909088,0.642912073909057,"glmer"
"speed_win35",35726,164,25433,1.63050916465008,0.221343162102132,12.0110335045327,0.631340144145894,"glmer"
"speed_win40",34910,163,24867,1.65405268811261,0.221726931137119,12.3390076298879,0.623557769381763,"glmer"
"speed_win45",34097,162,24302,1.66882028114933,0.207581329341004,13.4162409481459,0.630121384309223,"glmer"
"speed_win50",33300,158,23748,1.72820200257946,0.210115505510763,14.2144776724565,0.610850082395806,"glmer"
"speed_win60",31735,155,22663,1.79428499029017,0.211056498521899,15.2540132567705,0.592397345714399,"glmer"
"speed_win70",30192,153,21597,1.84316743112175,0.204946919081052,16.5763222710579,0.585314389387242,"glmer"
"speed_win80",28665,152,20537,1.93712390085479,0.202744159277772,18.5082964689592,0.565844807586076,"glmer"
"speed_win90",27187,144,19515,1.98087695526673,0.180780516004123,21.7051792894389,0.575745350283815,"glmer"
"speed_win100",25747,141,18505,2.01840394803934,0.177355220402241,22.9705925104493,0.571383495888567,"glmer"
"displacement_win1",41464,173,29414,1.13913388724667,0.248251796534536,5.22705588111703,0.86691396453906,"glmer"
"displacement_win5",40773,171,28935,1.22144095622082,0.24449186473686,6.10211718553227,0.807445275706966,"glmer"
"displacement_win10",39920,170,28345,1.21385615362371,0.233604524528011,6.30744102524215,0.817704228319673,"glmer"
"displacement_win15",39070,170,27755,1.19720630905591,0.225202421393325,6.36450948251558,0.832771477536401,"glmer"
"displacement_win20",38222,169,27167,1.18555025258827,0.22143042538824,6.34749898957087,0.842399487472117,"glmer"
"displacement_win25",37381,167,26586,1.172500508031,0.2158258864043,6.36975232321137,0.853781511676388,"glmer"
"displacement_win30",36549,166,26006,1.16356037752092,0.208729614897094,6.48625137742953,0.86280892887237,"glmer"
"displacement_win35",35726,164,25433,1.15051204839166,0.202645783344614,6.53197886305563,0.874260124380221,"glmer"
"displacement_win40",34910,163,24867,NA,NA,NA,NA,"glmer-WARN"
"displacement_win45",34097,162,24302,1.12378386522112,0.193010101707327,6.54312994273382,0.896697662230794,"glmer"
"displacement_win50",33300,158,23748,1.14588274031611,0.200214528590613,6.55820166397214,0.878405564676245,"glmer"
"displacement_win60",31735,155,22663,1.13308318818375,0.192665985978411,6.66374765023917,0.890069780173803,"glmer"
"displacement_win70",30192,153,21597,1.13191142104761,0.19188955575693,6.67687962507437,0.891157779711259,"glmer"
"displacement_win80",28665,152,20537,1.15076584259144,0.191761971169194,6.90575934530199,0.877928206656378,"glmer"
"displacement_win90",27187,144,19515,1.13505804707809,0.180497070524913,7.1378264837761,0.892582694819385,"glmer"
"displacement_win100",25747,141,18505,1.14251859443669,0.180385235440702,7.23645000902913,0.887499865554734,"glmer"
"squareDisplacement_win1",41464,173,29414,1.13094819898242,0.248744652769701,5.14199527322413,0.873461339107132,"glmer"
"squareDisplacement_win5",40773,171,28935,1.24102154290366,0.228362588282105,6.74425036752689,0.802571043966724,"glmer"
"squareDisplacement_win10",39920,170,28345,1.27046795423169,0.196127872328863,8.22977786667249,0.801721102561417,"glmer"
"squareDisplacement_win15",39070,170,27755,1.28081689031041,0.18677594845175,8.78320747453312,0.80108092124509,"glmer"
"squareDisplacement_win20",38222,169,27167,1.2836685562207,0.184774681832599,8.91791530033642,0.80064851057377,"glmer"
"squareDisplacement_win25",37381,167,26586,1.27222158643272,0.182619092930886,8.86297122063762,0.807926172625945,"glmer"
"squareDisplacement_win30",36549,166,26006,1.25792253882954,0.174993610438955,9.04243937664998,0.819640774444515,"glmer"
"squareDisplacement_win35",35726,164,25433,1.23999478119276,0.176810342572544,8.69625065487575,0.828635279958313,"glmer"
"squareDisplacement_win40",34910,163,24867,NA,NA,NA,NA,"glmer-WARN"
"squareDisplacement_win45",34097,162,24302,1.19888400343488,0.173582241379171,8.28035657491242,0.854037400467724,"glmer"
"squareDisplacement_win50",33300,158,23748,1.23086645729721,0.17256947458379,8.7792597117967,0.835837726357522,"glmer"
"squareDisplacement_win60",31735,155,22663,1.21235125812603,0.17430576828938,8.4322830363229,0.845711723668593,"glmer"
"squareDisplacement_win70",30192,153,21597,1.21106533384997,0.171663916383264,8.54389946212443,0.847653908621625,"glmer"
"squareDisplacement_win80",28665,152,20537,1.2362229726451,0.176834074895537,8.64226670678881,0.830753136013478,"glmer"
"squareDisplacement_win90",27187,144,19515,1.21777440536457,0.170364262167021,8.70472764356631,0.844347180596086,"glmer"
"squareDisplacement_win100",25747,141,18505,1.22893274850786,0.169688045262743,8.90030701936955,0.838301694046263,"glmer"
"displacementRatio_win1",173,173,126,NA,NA,NA,NA,"glm-ERROR"
"displacementRatio_win5",40773,171,28935,0.983774436732448,0.27149988233752,3.56468715211114,0.980131497023615,"glmer"
"displacementRatio_win10",39920,170,28345,0.942043855304927,0.231865466107474,3.82742044434691,0.93347756030174,"glmer"
"displacementRatio_win15",39070,170,27755,0.91368421575157,0.214856261913693,3.88547598602878,0.902718719724743,"glmer"
"displacementRatio_win20",38222,169,27167,0.921349975778974,0.20429013074183,4.15529509323527,0.915117048756014,"glmer"
"displacementRatio_win25",37381,167,26586,0.907653529762898,0.19853248796792,4.14962275707827,0.900566700356679,"glmer"
"displacementRatio_win30",36549,166,26006,0.860129839582931,0.15557116701889,4.75552992959889,0.862888167962771,"glmer"
"displacementRatio_win35",35726,164,25433,0.858565223062853,0.178251144397966,4.13536891862659,0.849215961265819,"glmer"
"displacementRatio_win40",34910,163,24867,NA,NA,NA,NA,"glmer-WARN"
"displacementRatio_win45",34097,162,24302,0.857328097639657,0.123296849979443,5.96131585782587,0.876363482245913,"glmer"
"displacementRatio_win50",33300,158,23748,0.879156481862711,0.182758744170223,4.22916081586399,0.872328934807811,"glmer"
"displacementRatio_win60",31735,155,22663,0.895085325679901,0.145024830679933,5.52441769103442,0.904990960774785,"glmer"
"displacementRatio_win70",30192,153,21597,0.930236971489571,0.173184164154536,4.99665097759126,0.93280787238151,"glmer"
"displacementRatio_win80",28665,152,20537,0.979581594641901,0.195551819785657,4.90703743699732,0.979980190272197,"glmer"
"displacementRatio_win90",27187,144,19515,0.988735193077631,0.195087006213187,5.01108352117498,0.989084525233003,"glmer"
"displacementRatio_win100",25747,141,18505,1.00573965030192,0.211456836662669,4.78354003660357,0.994260779856898,"glmer"
"outreachRatio_win1",173,173,126,NA,NA,NA,NA,"glm-ERROR"
"outreachRatio_win5",40773,171,28935,1.01683893236683,0.239157570776287,4.32334803795151,0.981958751636603,"glmer"
"outreachRatio_win10",39920,170,28345,0.980874999117051,0.219705682641656,4.37911187514482,0.979818530414077,"glmer"
"outreachRatio_win15",39070,170,27755,0.930623615080236,0.201931233980334,4.28888733988201,0.926514600353127,"glmer"
"outreachRatio_win20",38222,169,27167,0.888842598339436,0.187863544348489,4.20539901641196,0.881870379227632,"glmer"
"outreachRatio_win25",37381,167,26586,0.865771552673263,0.173255567830878,4.32632781042829,0.860616404933691,"glmer"
"outreachRatio_win30",36549,166,26006,0.847580908433798,0.167662041710235,4.2847706553821,0.841466083509481,"glmer"
"outreachRatio_win35",35726,164,25433,0.826550145555935,0.161046341449612,4.24216493817272,0.819430865812011,"glmer"
"outreachRatio_win40",34910,163,24867,0.810519533101866,0.15783751397167,4.16214052672915,0.801301211488939,"glmer"
"outreachRatio_win45",34097,162,24302,0.794040106884474,0.150418837982581,4.1916271910977,0.785862240236818,"glmer"
"outreachRatio_win50",33300,158,23748,0.794296513205749,0.1479781150045,4.26351525610139,0.7882268647662,"glmer"
"outreachRatio_win60",31735,155,22663,NA,NA,NA,NA,"glmer-WARN"
"outreachRatio_win70",30192,153,21597,0.7626770974601,0.141978797028333,4.09692409827986,0.752115887786403,"glmer"
"outreachRatio_win80",28665,152,20537,0.759029521440149,0.13864032655444,4.15554282607257,0.750600691547831,"glmer"
"outreachRatio_win90",27187,144,19515,0.745110387038529,0.128908241864389,4.30685797000291,0.742389070039555,"glmer"
"outreachRatio_win100",25747,141,18505,0.749349113717404,0.123610417404432,4.54269232334883,0.75364825543488,"glmer"
"straightness_win1",173,173,126,NA,NA,NA,NA,"glm-ERROR"
"straightness_win5",40773,171,28935,1.01041599252849,0.234676065637386,4.35042438258218,0.988900682066714,"glmer"
"straightness_win10",39920,170,28345,NA,NA,NA,NA,"glmer-WARN"
"straightness_win15",39070,170,27755,0.920185032985592,0.196451203636071,4.31018227050059,0.915916462126628,"glmer"
"straightness_win20",38222,169,27167,0.884392534765103,0.181819359349694,4.3017979952505,0.879015885535495,"glmer"
"straightness_win25",37381,167,26586,0.861013677076004,0.17239992502326,4.30014428377461,0.855295239137182,"glmer"
"straightness_win30",36549,166,26006,0.839717914051237,0.16441899175602,4.28859323152212,0.833692287394318,"glmer"
"straightness_win35",35726,164,25433,0.819385484948278,0.15744890537552,4.26419333524508,0.812889357691462,"glmer"
"straightness_win40",34910,163,24867,NA,NA,NA,NA,"glmer-WARN"
"straightness_win45",34097,162,24302,0.788758349685728,0.148788469807013,4.18137060624322,0.780366059815045,"glmer"
"straightness_win50",33300,158,23748,0.790535252329274,0.147010247489996,4.25103688923342,0.784196634636724,"glmer"
"straightness_win60",31735,155,22663,0.770073112335261,0.142713820453874,4.15525697830633,0.761288964233503,"glmer"
"straightness_win70",30192,153,21597,0.764036128538328,0.140258332576538,4.16197166320431,0.755657139102195,"glmer"
"straightness_win80",28665,152,20537,0.764459373875848,0.138700985082992,4.21336686222507,0.757765679541329,"glmer"
"straightness_win90",27187,144,19515,0.753142670001517,0.129388544480199,4.38388022414008,0.752417272041216,"glmer"
"straightness_win100",25747,141,18505,0.759326731392338,0.127753630696319,4.51319529522839,0.762070367746201,"glmer"
"asphericity_win1",173,173,126,NA,NA,NA,NA,"glm-ERROR"
"asphericity_win5",40773,171,28935,1.01809891244115,0.24111759390273,4.29883766977203,0.980527966772393,"glmer"
"asphericity_win10",39920,170,28345,0.965314423360945,0.215248847292713,4.32909141056395,0.96322571525738,"glmer"
"asphericity_win15",39070,170,27755,0.885386551414595,0.183492284455387,4.27216516352448,0.879506265025486,"glmer"
"asphericity_win20",38222,169,27167,0.807462197243517,0.159102246793912,4.09796349904391,0.796371783342548,"glmer"
"asphericity_win25",37381,167,26586,0.757227542295662,0.141872240614909,4.04161905335323,0.744837722392412,"glmer"
"asphericity_win30",36549,166,26006,0.74125748009095,0.133896103848791,4.10364929222505,0.731661312940328,"glmer"
"asphericity_win35",35726,164,25433,0.727644794142128,0.131602989107766,4.02321368254467,0.715549329786558,"glmer"
"asphericity_win40",34910,163,24867,0.716671833769963,0.127896746355454,4.01588415620628,0.704786812474645,"glmer"
"asphericity_win45",34097,162,24302,0.715567043740701,0.124980800732161,4.09691881543569,0.706971172078316,"glmer"
